"","x"
"Nuner_GD","Numer identyfikacyjny gospodarstwa"
"NUMER_OSOBY","Numer kolejny osoby w GD"
"HC6","STOPIEŃ POKREWIEŃSTWA Z GŁOWĄ RODZINY"
"nr_040713","numer sztywny"
"numer150730",""
"IMIE_ALL","IMIĘ CZŁONKA Z POMIARÓW 2003, 2005, 2007 I 2009"
"PLEC_ALL","Płeć"
"ROK_URODZ_ALL","rok urodzenia"
"WAGA_2000_OSOBY","Waga dla członków gospodarstwa z  2000"
"WAGA_2003_OSOBY","Waga dla członków gospodarstwa z  2003"
"WAGA_2005_OSOBY","Waga dla członków gospodarstwa z  2005"
"WAGA_2007_OSOBY","Waga dla członków gospodarstwa z  2007"
"WAGA_2009_OSOBY","Waga dla członków gospodarstwa z  2009"
"WAGA_2011_OSOBY","Waga dla członków gospodarstwa z  2011"
"WAGA_2013_OSOBY","Waga dla członków gospodarstwa z  2013"
"WAGA_2015_OSOBY","Waga dla członków gospodarstwa z  2015"
"waga_p03_osoby","Waga dla członków gospodarstwa próby panelowej 2000-2003"
"waga_p05_osoby","Waga dla członków gospodarstwa próby panelowej 2000-2005"
"waga_p35_osoby","Waga dla członków gospodarstwa próby panelowej 2003-2005"
"waga_p37_osoby","Waga dla członków gospodarstwa próby panelowej 2003-2007"
"waga_p57_osoby","Waga dla członków gospodarstwa próby panelowej 2005-2007"
"waga_p79_osoby","Waga dla członków gospodarstwa próby panelowej 2007-2009"
"waga_p711_osoby","Waga dla członków gospodarstwa próby panelowej 2007-2011"
"waga_p911_osoby","Waga dla członków gospodarstwa próby panelowej 2009-2011"
"WAGA_P913_OSOBY","WAGA DLA CZŁONKÓW GOSPODARSTWA PRÓBY PANELOWEJ 2009-2013"
"WAGA_P1113_OSOBY","WAGA DLA CZŁONKÓW GOSPODARSTWA PRÓBY PANELOWEJ 2011-2013"
"waga_p915_osoby","WAGA DLA CZŁONKÓW GOSPODARSTWA PRÓBY PANELOWEJ 2009-2015"
"waga_p1115_osoby","WAGA DLA CZŁONKÓW GOSPODARSTWA PRÓBY PANELOWEJ 2011-2015"
"waga_p1315_osoby","WAGA DLA CZŁONKÓW GOSPODARSTWA PRÓBY PANELOWEJ 2013-2015"
"WAGA_2000_IND","Waga dla indywidualnych respondentów z 2000"
"WAGA_2003_IND","Waga dla indywidualnych respondentów z 2003"
"WAGA_2005_IND","Waga dla indywidualnych respondentów z 2005"
"WAGA_2007_IND","Waga dla indywidualnych respondentów z 2007"
"WAGA_2009_IND","Waga dla indywidualnych respondentów z 2009"
"WAGA_2011_IND","Waga dla indywidualnych respondentów z 2011"
"WAGA_2013_IND","Waga dla indywidualnych respondentów z 2013"
"WAGA_2015_IND","Waga dla indywidualnych respondentów z 2015"
"WAGA_2015_IND_ISSP","Waga dla indywidualnmych respondentów z 2015 wypełniających kwestionariusz ISSP"
"waga_p03_ind","Waga dla indywidualnych respondentów próby panelowej  2000-2003"
"waga_p05_ind","Waga dla indywidualnych respondentów próby panelowej  2000-2005"
"waga_p35_ind","Waga dla indywidualnych respondentów próby panelowej  2003-2005"
"waga_p37_ind","Waga dla indywidualnych respondentów próby panelowej  2003-2007"
"waga_p57_ind","Waga dla indywidualnych respondentów próby panelowej  2005-2007"
"waga_p79_ind","Waga dla indywidualnych respondentów próby panelowej  2007-2009"
"waga_p711_ind","Waga dla indywidualnych respondentów próby panelowej  2007-2011"
"waga_p911_ind","Waga dla indywidualnych respondentów próby panelowej  2009-2011"
"waga_p913_ind","WAGA DLA INDYWIDUALNYCH RESPONDENTÓW PRÓBY PANELOWEJ  2009-2013"
"waga_p1113_ind","Waga dla indywidualnych respondentów próby panelowej  2011-2013"
"waga_p915_ind","WAGA DLA INDYWIDUALNYCH RESPONDENTÓW PRÓBY PANELOWEJ  2009-2015"
"waga_p1115_ind","WAGA DLA INDYWIDUALNYCH RESPONDENTÓW PRÓBY PANELOWEJ  2011-2015"
"waga_p1315_ind","WAGA DLA INDYWIDUALNYCH RESPONDENTÓW PRÓBY PANELOWEJ  2013-2015"
"waga_p1315_ind_ISSP","WAGA DLA INDYWIDUALNYCH RESPONDENTÓW ISSP PRÓBY PANELOWEJ  2013-2015"
"waga_p1115_ind_ISSP","WAGA DLA INDYWIDUALNYCH RESPONDENTÓW ISSP PRÓBY PANELOWEJ  2011-2015"
"waga_p915_ind_ISSP","WAGA DLA INDYWIDUALNYCH RESPONDENTÓW ISSP PRÓBY PANELOWEJ  2009-2015"
"F2000","Fala 2000"
"F2003","Fala 2003"
"F2005","Fala 2005"
"F2007","Fala 2007"
"F2009","FALA 2009"
"F2011","Fala 2011"
"F2013","Fala 2013"
"F2015","Fala 2015"
"wiek2000","wiek życia w 2000"
"wiek2003","wiek życia w 2003"
"wiek2005","wiek życia w 2005"
"wiek2007","wiek życia w 2007"
"wiek2009","wiek życia w 2009"
"wiek2011","wiek życia w 2011"
"wiek2013","wiek życia w 2013"
"wiek2015","wiek życia w 2015"
"wiek6_2000","wiek skategoryzowany 2000"
"wiek6_2003","wiek skategoryzowany 2003"
"wiek6_2005","wiek skategoryzowany 2005"
"wiek6_2007","wiek skategoryzowany 2007"
"wiek6_2009","wiek skategoryzowany 2009"
"wiek6_2011","wiek skategoryzowany 2011"
"wiek6_2013","wiek skategoryzowany 2013"
"wiek6_2015","wiek skategoryzowany 2015"
"WOJEWODZTWO","województwo"
"KLASA_MIEJSCOWOSCI","Symbol klasy miejscowości zamieszkania"
"PODREGION58","PODREGIONY BEZ WYDZIELANIA DUŻYCH AGLOMERACJI"
"PODREGION66","PODREGIONY Z WYDZIELENIEM DUŻYCH AGLOMERACJI"
"miasto_29","29 większych miast"
"L_OSOB_2000","liczba osób w gospodarstwie w 2000"
"L_OSOB_2003","liczba osób w gospodarstwie w 2003"
"L_OSOB_2005","liczba osób w gospodarstwie w 2005"
"L_OSOB_2007","liczba osób w gospodarstwie w 2007"
"L_OSOB_2009","liczba osób w gospodarstwie w 2009"
"L_OSOB_2011","liczba osób w gospodarstwie w 2011"
"L_OSOB_2013","liczba osób w gospodarstwie w 2013"
"L_OSOB_2015","liczba osob w gospodarstwie w 2015"
"INDYWIDUALNI_2000","OSOBY BADANE KWESTIONARIUSZEM INDYWIDUALNYM DS W 2000"
"INDYWIDUALNI_2003","OSOBY BADANE KWESTIONARIUSZEM INDYWIDUALNYM DS2003"
"INDYWIDUALNI_2005","OSOBY BADANE KWESTIONARIUSZEM INDYWIDUALNYM DS2005"
"INDYWIDUALNI_2007","OSOBY BADANE KWESTIONARIUSZEM INDYWIDUALNYM DS2007"
